"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Abha Khanna",1,"2022-10-04","2022-10","21-1086","Merrill v. Milligan","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-1086&event=2"
"Adina H. Rosenbaum",1,"2008-04-16","2007-10","07-371","Taylor v. Sturgell","553 U.S. 880 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-371&event=1"
"Adina H. Rosenbaum",2,"2013-12-03","2013-10","12-462","Northwest, Inc. v. Ginsberg","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-462&event=2"
"Aileen Bunney",1,"1994-03-30","1993-10","93-5770","Stansbury v. California","511 U.S. 318 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=93-5770&event=1"
"Aileen M. McGrath",1,"2024-01-09","2023-10","22-1074","Sheetz v. County of El Dorado","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-1074&event=2"
"Aimee A. Feinberg",1,"2021-04-26","2020-10","19-251","Americans for Prosperity Foundation v. Bonta","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-251&event=2"
"Aimee W. Brown",1,"2025-04-21","2024-10","24-275","Parrish v. United States","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-275&event=1"
"AIMEE BROWN",2,"2025-10-07","2025-10","24-5774","Barrett v. United States","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-5774&event=1"
"AIMEE BROWN",3,"2026-02-23","2025-10","24-983","Havana Docks Corp. v. Royal Caribbean Cruises","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-983&event=1"
"Aimee W. Brown",1,"2023-01-11","2022-10","22-96","Financial Oversight Board v. CPI","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=22-96&event=2"
"Aimee W. Brown",2,"2023-12-06","2023-10","22-193","Muldrow v. St. Louis","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-193&event=2"
"Aimee W. Brown",3,"2024-03-25","2023-10","23-21","Harrow v. Dept. of Defense","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23-21&event=2"
"Aimee W. Brown",4,"2024-11-05","2024-10","23-217","E.M.D. Sales, Inc. v. Carrera","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-217&event=2"
"Aimee W. Brown",5,"2025-04-21","2024-10","24-275","Parrish v. United States","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-275&event=1"
"AIMEE W. BROWN",6,"2025-10-07","2025-10","24-5774","Barrett v. United States","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-5774&event=1"
"AIMEE W. BROWN",7,"2026-02-23","2025-10","24-983","Havana Docks Corp. v. Royal Caribbean Cruises","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-983&event=1"
"Alexa Kolbi-Molinas",1,"2021-10-12","2021-10","20-601","Cameron v. EMW Women’s Surgical Center","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-601&event=1"
"Alexandra A. E. Shapiro",1,"2016-10-05","2016-10","15-628","Salman v. United States","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-628&event=2"
"Alexandra T. Schimmer",1,"2012-10-09","2012-10","10-930,11-218","Ryan v. Valencia Gonzales","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=10-930%2C11-218&event=1"
"Alexia Morrison",1,"1988-04-26","1987-10","87-1279","Morrison v. Olson","487 U.S. 654 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=87-1279&event=1"
"Alice E. Alexander",1,"1932-11-11","1932-10","51","Detroit Int'l Bridge Co. v. Corporation Tax Appeal Bd. of Mich.","287 U.S. 295 (1932)","https://argumentaloud.org/courts/ussc/?term=1932-10&case=51"
"Alice E. Alexander",2,"1934-12-14","1934-10","272","Detroit Int'l Bridge Co. v. Corporation Tax Appeal Bd. of Mich.","294 U.S. 83 (1935)","https://argumentaloud.org/courts/ussc/?term=1934-10&case=272"
"Alison Steiner",1,"1991-03-19","1990-10","89-1821","Stevens v. Department of Treasury","500 U.S. 1 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1821&event=1"
"Allison J. Riggs",1,"2018-04-24","2017-10","17-586,17-626","Abbott v. Perez","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=17-586%2C17-626&event=2"
"Allison J. Riggs",2,"2019-03-26","2018-10","18-422","Rucho v. Common Cause","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=18-422&event=2"
"Allison M. Zieve",1,"2001-10-29","2001-10","00-6567","Dusenbery v. United States","534 U.S. 161 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-6567&event=1"
"Allison M. Zieve",2,"2005-11-28","2005-10","04-1332","Will v. Hallock","546 U.S. 345 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1332&event=1"
"Allison M. Zieve",3,"2007-12-04","2007-10","06-179","Riegel v. Medtronic, Inc.","552 U.S. 312 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-179&event=1"
"Allison M. Zieve",4,"2008-02-25","2007-10","06-1498","Warner-Lambert Co. v. Kent","552 U.S. 440 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-1498&event=1"
"Allison M. Zieve",5,"2012-11-07","2012-10","11-1175","Marx v. General Revenue Corp.","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-1175&event=2"
"Allyson N. Ho",1,"2014-11-10","2014-10","13-1010","M&G Polymers USA, LLC v. Tackett","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1010&event=2"
"Allyson N. Ho",2,"2014-12-01","2014-10","13-1041,13-1052","Perez v. Mortgage Bankers Assn.","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1041%2C13-1052&event=2"
"Allyson N. Ho",3,"2017-02-21","2016-10","15-1248","McLane Co. v. EEOC","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1248&event=2"
"Allyson N. Ho",4,"2017-11-27","2017-10","16-712","Oil States Energy Services, LLC v. Greene's Energy Group, LLC","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=16-712&event=2"
"Allyson N. Ho",5,"2024-03-19","2023-10","22-1079","Truck Insurance Exchange v. Kaiser Gypsum Co. Inc.","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-1079&event=2"
"Allyson N. Ho",6,"2024-11-04","2024-10","23-1127","Wisconsin Bell, Inc. v. U.S., ex rel. Heath","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1127&event=2"
"ALLYSON N. HO",7,"2025-12-03","2025-10","24-993","Olivier v. City of Brandon","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-993&event=2"
"Alyza D. Lewin",1,"2014-11-03","2014-10","13-628","Zivotofsky v. Kerry","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-628&event=2"
"Amalya L. Kearse",1,"1979-01-15","1978-10","77-1578,77-1583","Broadcast Music, Inc. v. Columbia Broadcasting System, Inc.","441 U.S. 1 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1578%2C77-1583&event=1"
"Amanda C. Leiter",1,"2009-11-10","2009-10","08-911","Kucana v. Holder","558 U.S. 233 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-911&event=1"
"Amanda Frost",1,"2003-02-26","2002-10","02-69","Roell v. Withrow","538 U.S. 580 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=02-69&event=1"
"Amanda K. Rice",1,"2021-02-24","2020-10","20-18","Lange v. California","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=20-18&event=2"
"Amanda K. Rice",1,"2025-04-21","2024-10","24-275","Parrish v. United States","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-275&event=2"
"Amelia W. Baker",1,"1990-10-30","1990-10","89-680","James M. Beam Distilling Company v. Georgia","501 U.S. 529 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-680&event=1"
"Amy Howe",1,"2008-04-15","2007-10","07-330","Greenlaw v. United States","554 U.S. 237 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-330&event=1"
"Amy Howe",2,"2010-01-12","2009-10","08-645","Abbott v. Abbott","560 U.S. 1 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-645&event=1"
"Amy Jo Gittler",1,"1983-03-28","1982-10","82-52","Arizona Governing Committee for Tax Deferred Annuity and Deferred Compensation Plans v. Norris","463 U.S. 1073 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=82-52&event=1"
"Amy Juviler",1,"1975-12-02","1975-10","74-1137","Lavine v. Milne","424 U.S. 577 (1976)","https://argumentaloud.org/courts/ussc/?term=1975-10&case=74-1137&event=1"
"Amy Juviler",2,"1979-04-17","1978-10","78-759","Leroy v. Great Western United Corporation","443 U.S. 173 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=78-759&event=1"
"Amy K. Posner",1,"2008-04-23","2007-10","06-923","Metropolitan Life Ins. Co. v. Glenn","554 U.S. 105 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-923&event=1"
"Amy L. Wax",1,"1989-11-27","1989-10","88-1323","Sullivan v. Everhart","494 U.S. 83 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-1323&event=1"
"Amy L. Wax",2,"1990-03-27","1989-10","89-5691","Hughey v. United States","495 U.S. 411 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=89-5691&event=1"
"Amy L. Wax",3,"1990-10-30","1990-10","89-7370","Gozlon-Peretz v. United States","498 U.S. 395 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-7370&event=1"
"Amy L. Wax",4,"1991-03-19","1990-10","89-1821","Stevens v. Department of Treasury","500 U.S. 1 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1821&event=1"
"Amy L. Wax",5,"1991-04-17","1990-10","89-1895","Astoria Federal Savings & Loan Association v. Solimino","501 U.S. 104 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1895&event=1"
"Amy L. Wax",6,"1991-10-16","1991-10","90-889","King v. St. Vincent's Hospital","502 U.S. 215 (1991)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-889&event=1"
"Amy L. Wax",7,"1991-11-06","1991-10","90-6297","Williams v. United States","503 U.S. 193 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-6297&event=1"
"Amy L. Wax",8,"1992-01-15","1991-10","90-1745","United States v. Wilson","503 U.S. 329 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-1745&event=1"
"Amy L. Wax",9,"1992-10-13","1992-10","91-781","United States v. Parcel of Rumson, N. J., Land","507 U.S. 111 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-781&event=1"
"Amy L. Wax",10,"1992-11-03","1992-10","91-1393","Lockhart v. Fretwell","506 U.S. 364 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-1393&event=1"
"Amy L. Wax",11,"1992-12-07","1992-10","91-7749","Ortega-Rodriguez v. United States","507 U.S. 234 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-7749&event=1"
"Amy L. Wax",12,"1993-04-21","1992-10","92-725","Godinez v. Moran","509 U.S. 389 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=92-725&event=1"
"Amy L. Wax",13,"1993-10-06","1993-10","91-1523","Florence County School District Four v. Carter","510 U.S. 7 (1993)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=91-1523&event=1"
"Amy L. Wax",14,"1994-03-22","1993-10","92-8346","Shannon v. United States","512 U.S. 573 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-8346&event=1"
"Amy L. Wax",15,"1994-04-18","1993-10","93-120","Thomas Jefferson University v. Shalala","512 U.S. 504 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=93-120&event=1"
"Amy L. Weil",1,"2018-11-07","2018-10","17-773","Culbertson v. Berryhill","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-773&event=2"
"Amy Loeserman Klein",1,"1979-11-28","1979-10","78-1651","Seatrain Shipbuilding Corporation v. Shell Oil Company","444 U.S. 572 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=78-1651&event=1"
"Amy M. Bartholow",1,"2003-12-09","2003-10","02-1371","Missouri v. Seibert","542 U.S. 600 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1371&event=1"
"Amy M. Saharia",1,"2021-04-19","2020-10","20-315","Santos Sanchez v. Mayorkas","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=20-315&event=2"
"Amy M. Saharia",2,"2023-04-24","2022-10","22-210","Dupree v. Younger","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=22-210&event=2"
"AMY M. SAHARIA",3,"2025-10-14","2025-10","24-482","Ellingburg v. United States","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-482&event=2"
"Amy Zapp",1,"2005-01-18","2004-10","04-5462","Rompilla v. Beard","545 U.S. 374 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-5462&event=1"
"Analeslie Muncy",1,"1989-10-04","1989-10","87-2012,87-2051,88-49","FW/PBS, Inc. v. Dallas","493 U.S. 215 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=87-2012%2C87-2051%2C88-49&event=1"
"Analeslie Muncy",2,"1989-10-04","1989-10","87-2012","FW/PBS, Inc. v. City of Dallas","","https://argumentaloud.org/courts/ussc/?term=1989-10&case=87-2012&event=1"
"Andre' Diane Blalock",1,"1994-03-22","1993-10","92-9093","Romano v. Oklahoma","512 U.S. 1 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-9093&event=1"
"Andrea K. Spillars",1,"2007-03-21","2006-10","06-313","Roper v. Weaver","550 U.S. 598 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-313&event=1"
"Andrea L. Biren",1,"1988-01-12","1987-10","86-935","Regents of the University of California v. Public Employment Relations Board","485 U.S. 589 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-935&event=1"
"Andrea L. Solak",1,"1988-02-24","1987-10","86-1824","Michigan v. Chesternut","486 U.S. 567 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-1824&event=1"
"Andrea N. Cortina",1,"2004-11-10","2004-10","03-1039","Brown v. Payton","544 U.S. 133 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1039&event=1"
"Andrea Sheridan Ordin",1,"1987-03-30","1986-10","86-133","Nollan v. California Coastal Commission","483 U.S. 825 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-133&event=1"
"Angela L. Campbell",1,"2013-11-12","2013-10","12-7515","Burrage v. United States","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-7515&event=2"
"Anita Alvarez",1,"2011-12-06","2011-10","10-8505","Williams v. Illinois","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-8505&event=2"
"Anita Ashton",1,"1980-10-08","1980-10","79-1127","Estelle v. Smith","451 U.S. 454 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=79-1127&event=1"
"Ann Garrison Paschall",1,"1985-11-13","1985-10","84-1480","Wainwright v. Greenfield","474 U.S. 284 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1480&event=1"
"Ann Celestine German",1,"1996-03-20","1995-10","95-566","Montana v. Egelhoff","518 U.S. 37 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=95-566&event=1"
"Ann E. Beeson",1,"2001-11-28","2001-10","00-1293","Ashcroft v. American Civil Liberties Union","535 U.S. 564 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1293&event=1"
"Ann E. Beeson",2,"2004-03-02","2003-10","03-218","Ashcroft v. American Civil Liberties Union","542 U.S. 656 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=03-218&event=1"
"Ann E. Webb",1,"1993-02-23","1992-10","91-2086","Granite State Insurance Company v. Tandy Corporation","507 U.S. 1026 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-2086&event=1"
"Ann Fagan Ginger",1,"1959-04-23","1958-10","175,463","Raley v. Ohio","360 U.S. 423 (1959)","https://argumentaloud.org/courts/ussc/?term=1958-10&case=175%2C463&event=2"
"Ann Hardgrove Voris",1,"1991-10-09","1991-10","90-1074","Estelle, Warden v. Mcguire","502 U.S. 62 (1991)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-1074&event=1"
"Ann Hubbard",1,"1997-03-24","1996-10","96-651","Gilbert v. Homar","520 U.S. 924 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-651&event=1"
"Ann L. Ritter",1,"1983-12-06","1983-10","82-973","Immigration and Naturalization Service v. Stevic","467 U.S. 407 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-973&event=1"
"Ann M. Sheadel",1,"1985-11-13","1985-10","84-1586","Malley v. Briggs","475 U.S. 335 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1586&event=1"
"Ann Sheadel",2,"1991-02-25","1990-10","90-79","Kay v. Ehrler","499 U.S. 432 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-79&event=1"
"Ann M. Sherman",1,"2025-02-25","2024-10","23-1324","Perttu v. Richards","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1324&event=2"
"ANN M. SHERMAN",2,"2026-02-24","2025-10","24-783","Enbridge Energy, LP v. Nessel","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-783&event=1"
"Ann M. Kappler",1,"1993-04-19","1992-10","92-484,92-507","United States National Bank of Oregon v. Independent Insurance Agents of America, Inc.","508 U.S. 439 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=92-484%2C92-507&event=1"
"Ann M. Kappler",2,"1996-01-16","1995-10","94-1837","Barnett Bank of Marion County, N.A. v. Nelson","517 U.S. 25 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-1837&event=1"
"Ann O'Connell",1,"2011-01-12","2010-10","09-1272","Kentucky v. King","563 U.S. 452 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-1272&event=1"
"Ann O'Connell",2,"2011-11-02","2011-10","10-895","Gonzalez v. Thaler","565 U.S. 134 (2012)","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-895&event=1"
"Ann O'Connell",3,"2012-02-21","2011-10","10-1042","Freeman v. Quicken Loans, Inc.","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-1042&event=1"
"Ann O'Connell",4,"2012-10-09","2012-10","10-930,11-218","Ryan v. Valencia Gonzales","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=10-930%2C11-218&event=1"
"Ann O'Connell",5,"2013-02-20","2012-10","12-43","PPL Corp. v. Commissioner","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=12-43&event=1"
"Ann O'Connell",6,"2013-04-23","2012-10","11-889","Tarrant Regional Water Dist. v. Herrmann","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-889&event=1"
"Ann O'Connell",7,"2013-10-08","2013-10","12-414","Burt v. Titlow","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-414&event=1"
"Ann O'Connell",8,"2013-12-11","2013-10","12-820","Lozano v. Montoya Alvarez","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-820&event=1"
"Ann O'Connell",9,"2014-10-14","2014-10","126-Orig","Kansas v. Nebraska","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=126-Orig&event=1"
"Ann O'Connell",10,"2014-11-10","2014-10","13-975","T-Mobile South, LLC v. City of Roswell","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-975&event=1"
"Ann O'Connell",11,"2015-02-24","2014-10","13-1487","Henderson v. United States","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1487&event=1"
"Ann O'Connell",12,"2015-11-03","2015-10","14-8358","Lockhart v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-8358&event=2"
"Ann O'Connell",13,"2016-02-24","2015-10","14-614,14-623","Hughes v. Talen Energy Marketing, LLC","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-614%2C14-623&event=2"
"Ann O'Connell",14,"2016-11-08","2016-10","14-1055","Lightfoot v. Cendant Mortgage","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=14-1055&event=2"
"Ann O'Connell",15,"2017-01-09","2016-10","15-1500","Lewis v. Clarke","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1500&event=1"
"Ann O'Connell",16,"2017-04-19","2016-10","16-240","Weaver v. Massachusetts","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-240&event=1"
"Ann O'Connell",17,"2017-11-07","2017-10","16-498","Patchak v. Zinke","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=16-498&event=2"
"Ann O'Connell",18,"2018-01-08","2017-10","141-Orig","Texas v. New Mexico","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=141-Orig&event=2"
"Ann O'Connell",19,"2018-03-21","2017-10","17-387","Upper Skagit Tribe v. Lundgren","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=17-387&event=2"
"Ann O'Connell",20,"2018-10-30","2018-10","16-1498","Washington State Dept. of Licensing v. Cougar Den, Inc.","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=16-1498&event=2"
"Ann O'Connell",21,"2019-01-14","2018-10","17-1201","Thacker v. TVA","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-1201&event=1"
"Ann S. Torregrossa",1,"1972-12-06","1972-10","71-6316","Goosby v. Osser","409 U.S. 512 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=71-6316"
"Ann-Michele G. Higgins",1,"2007-01-09","2006-10","06-102","Sinochem International Co. Ltd. v. Malaysia International Shipping Corp.","549 U.S. 422 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-102&event=1"
